Title,Author,Publisher,,,,,,
Girl With A Pearl Earring,Tracy Chevalier,Plume,,,,,,
Summer Of Storms,Judith Kelman,Jove,,,,,,
The Patient,Michael Palmer,Bantam,,,,,,
"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,Scholastic,,,,,,
Clifford's Sports Day,Norman Bridwell,Cartwheel,,,,,,
Postmortem (Kay Scarpetta Mysteries),Patricia Cornwell,Pocket,,,,,,
Deception Point,Dan Brown,Pocket Books,,,,,,
'Tis: A Memoir,Frank McCourt,Scribner,,,,,,
Angels &amp; Demons,Dan Brown,Atria,,,,,,
A Monk Swimming,Malachy Mccourt,Hyperion,,,,,,
Crazy Horse: The Strange Man Of The Oglalas: A Biography.,Mari Sandoz,Bison Books (1961),,,,,,
The Silent Cry (William Monk Novels),Anne Perry,Ivy Books,,,,,,
"The Kalahari Typing School For Men (No. 1 Ladies' Detective Agency, Book 4)",Alexander Mccall Smith,Anchor,,,,,,
Chicken Soup For The Soul: 101 Stories To Open The Heart And Rekindle The Spirit,"Jack Canfield,Mark Victor Hansen,Barbara Bergman","Health Communications, Inc.",,,,,,
Wicked: The Life And Times Of The Wicked Witch Of The West,Gregory Maguire,William Morrow Paperbacks,,,,,,
Life Of Pi,Yann Martel,Houghton Mifflin Harcourt,,,,,,
A Judgement In Stone,Ruth Rendell,Vintage,,,,,,
Lies (And The Lying Liars Who Tell Them): A Fair And Balanced Look At The Right,Al Franken,Dutton,,,,,,
Secret History,Donna Tartt,Ivy Books,,,,,,
Chicken Soup For The Woman's Soul: 101 Stories To Open The Hearts And Rekindle The Spirits Of Women (Chicken Soup For The Soul),"Jack Canfield,Mark Victor Hansen,Jennifer Read Haw","Health Communications, Inc.",,,,,,
Great Expectations (Heinemann Guided Readers),John Milne,Delta Systems Co Inc,,,,,,
The Weight Of Water,Anita Shreve,"Little, Brown And Company",,,,,,
Moving Pictures,Terry Pratchett,HarperTorch,,,,,,
Night Watch: A Novel Of Discworld,Terry Pratchett,Harper,,,,,,
Thief Of Time,Terry Pratchett,Harper,,,,,,
Charlotte's Web,"E. B. White,Garth Williams",HarperFestival,,,,,,
Peter Pan: The Original Story,J. M. Barrie,HarperFestival,,,,,,
My Friend Flicka,Mary O'Hara,Harper Paperbacks,,,,,,
The Last Hero: A Discworld Fable (Discworld Novels),"Terry Pratchett,Paul Kidby",Harper,,,,,,
Jingo,Terry Pratchett,Harper Voyager,,,,,,
Maskerade,Terry Pratchett,Harper Voyager,,,,,,
Interesting Times: A Novel Of Discworld,Terry Pratchett,Harper Prism,,,,,,
"On The Bright Side, I'm Now The Girlfriend Of A Sex God: Further Confessions Of Georgia Nicolson (Confessions Of Georgia Nicolson, Book 2)",Louise Rennison,HarperTeen,,,,,,
Mansfield Park (Penguin Popular Classics),JANE AUSTEN,PENGUIN CLASSICS,,,,,,
The Wind In The Willows (Thomas Dunne Books),Kenneth Grahame,St. Martin's Griffin,,,,,,
The Winter King (The Arthur Books #1),Bernard Cornwell,St. Martin's Griffin,,,,,,
Moonheart,Charles De Lint,Orb Books,,,,,,
The King Of Elfland's Daughter (Del Rey Impact),"Lord Dunsany,Neil Gaiman",Del Rey,,,,,,
Powder And Patch,Georgette Heyer,Mira,,,,,,
The Picture Of Dorian Gray (Modern Library Classics),"Oscar Wilde,Jeffrey Eugenides",Modern Library,,,,,,
The Iron Giant,"Ted Hughes,Andrew Davidson",Knopf Books For Young Readers,,,,,,
James And The Giant Peach,"Roald Dahl,Quentin Blake",Knopf Books For Young Readers,,,,,,
"The Amber Spyglass (His Dark Materials, Book 3)",Philip Pullman,Knopf Books For Young Readers,,,,,,
"The Golden Compass (His Dark Materials, Book 1)",Philip Pullman,Knopf Books For Young Readers,,,,,,
"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,Knopf Books For Young Readers,,,,,,
"The Adrian Mole Diaries : The Secret Diary Of Adrian Mole, Aged 13 3/4 : The Growing Pains Of Adrian Mole",Sue Townsend,Harper Perennial,,,,,,
The Martian Chronicles,Ray Bradbury,William Morrow,,,,,,
The Great God Pan,Donna Jo Napoli,Wendy Lamb Books,,,,,,
Possession: A Romance,A.S. Byatt,Random House,,,,,,
Born Confused,Tanuja Desai Hidier,Scholastic Paperbacks,,,,,,
Confessions Of A Shopaholic (Shopaholic Series),Sophie Kinsella,Dell,,,,,,
Making Minty Malone,Isabel Wolff,Onyx,,,,,,
Little Women (Signet Classics),Louisa May Alcott,Signet Classics,,,,,,
Emma (Signet Classics),"Jane Austen,Margaret Drabble",Signet Classics,,,,,,
Animal Farm,George Orwell,Signet,,,,,,
Great Expectations (Dover Thrift Editions),Charles Dickens,Dover Publications,,,,,,
Eva Luna,Isabel Allende,Bantam,,,,,,
Poisonwood Bible Edition Uk,Barbara Kingsolver,Faber Faber Inc,,,,,,
The Green Man : Tales From The Mythic Forest,"Ellen Datlow,Terri Windling,Charles Vess,Neil Gaim",Viking Juvenile,,,,,,
Nicholas Nickleby (Everyman's Library (Cloth)),Charles Dickens,Everyman's Library,,,,,,
Angels &amp; Insects: Two Novellas,A.S. Byatt,Vintage,,,,,,
Catch-22,Joseph Heller,Simon &amp; Schuster,,,,,,
The Forsyte Saga (The Man Of Property; In Chancery; To Let),John Galsworthy,Scribner Paperback Fiction,,,,,,
Enchanted Wood,Enid Blyton,Egmont Books,,,,,,
Folk Of The Faraway Tree,Enid Blyton,Egmont Books,,,,,,
Angels And Visitations: A Miscellany,Neil Gaiman,Dreamhaven Books,,,,,,
League Of Extraordinary Gentlemen (Vol. 2 ),"Alan Moore,Kevin O'Neill,Ben Dimagmaliw",WildStorm,,,,,,
The Sandman Vol. 1: Preludes And Nocturnes,"Neil Gaiman,Sam Kieth,Mike Dringenberg,Malcolm Jon",DC Comics,,,,,,
"The League Of Extraordinary Gentlemen, Vol. 1",Alan Moore,America's Best Comics,,,,,,
Harlequin Valentine,"Neil Gaiman,John Bolton",Dark Horse,,,,,,
American Sign Language In 24 Hours (Alpha Teach Yourself In 24 Hours),Trudy Suggs,Alpha,,,,,,
A Man In Full,Tom Wolfe,Farrar Straus Giroux,,,,,,
The Miracle Life Of Edgar Mint: A Novel,Brady Udall,Vintage,,,,,,
October Sky (The Coalwood Series #1),Homer Hickam,Dell,,,,,,
A Painted House,John Grisham,Dell,,,,,,
The Romance Reader,Pearl Abraham,Riverhead Trade,,,,,,
Far From The Madding Crowd (Wordsworth Classics) (Wordsworth Classics) (Wadsworth Collection),Thomas Hardy,Wordsworth Editions Ltd,,,,,,
The Perfect Storm: A True Story Of Men Against The Sea,Sebastian Junger,Harper Perennial,,,,,,
The Battle For God,Karen Armstrong,Ballantine Books,,,,,,
Sappho: A New Translation,"Mary Barnard,Dudley Fitts",Univ Of California Pr,,,,,,
The Postman,David Brin,Bantam Spectra,,,,,,
The Tortilla Curtain,"T. C. Boyle,T. Coraghessan Boyle",The Viking Press,,,,,,
Symposium,"Plato,Alexander Nehamas,Paul Woodruff",Hackett Publishing Co,,,,,,
The What's Happening To My Body? Book For Boys: A Growing Up Guide For Parents And Sons,"Lynda Madaras,Dane Saavedra,Jackie Aher",Newmarket Pr,,,,,,
The Object Of My Affection,Stephen Mccauley,Washington Square Press,,,,,,
The Journey Home,Isabelle Holland,Apple,,,,,,
Taking The Ferry Home,Pam Conrad,Trophy Pr,,,,,,
Angel Of Hope (Mercy Trilogy),Lurlene Mcdaniel,Laurel Leaf,,,,,,
The Breach,Brian Kaufman,Last Knight Pub Co,,,,,,
Neanderthal,John Darnton,St. Martin's Paperbacks,,,,,,
A Small Dark Place,Martin Schenk,Ballantine Books,,,,,,
The Rivan Codex: Ancient Texts Of THE BELGARIAD And THE MALLOREON,"David Eddings,Leigh Eddings",Del Rey,,,,,,
Babyhood,Paul Reiser,Avon,,,,,,
Year's Best Fantasy,"David G. Hartwell,Kathryn Cramer",Eos,,,,,,
Dave Barry In Cyberspace,Dave Barry,Ballantine Books,,,,,,
Wolf Moon,John R. Holt,Spectra,,,,,,
Eternal Warriors: The War In Heaven (Book One),Theodore Beale,Pocket Books,,,,,,
Waiting,Frank M. Robinson,Tor Books,,,,,,
Nowhere To Run,Mary Jane Clark,St. Martin's Paperbacks,,,,,,
Frankenstein (Dover Thrift Editions),"Mary Shelley,Dover Thrift Editions",Dover Publications,,,,,,
Urn Burial,Robert Westall,Viking Children's Books,,,,,,
All Our Yesterdays,Robert B. Parker,Delacorte Press,,,,,,
What Shall I Be (Barbie Carryalong),Rita Chapman Works,Reader's Digest,,,,,,
All That Remains,Patricia Cornwell,Scribner,,,,,,
Last Chance To See,"Douglas Adams,Mark Carwardine",Ballantine Books,,,,,,
Vinegar Hill (Oprah's Book Club),A. Manette Ansay,Harper Perennial,,,,,,
Affinity,Sarah Waters,Riverhead Trade,,,,,,
Diario De Ana Frank,Anne Frank,"Editores Mexicanos Unidos, S.A.",,,,,,
Desert Notes: Reflections In The Eye Of A Ravens And River Notes: The Dance Of Herons,Barry Lopez,Quill (HarperCollins),,,,,,
